timestamp,vehicle,ward,phase,location_name,latitude,longitude
2025-08-25 08:59:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.468559,77.106764
2025-08-25 09:00:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.468695,77.106893
2025-08-25 09:01:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.469884,77.105267
2025-08-25 09:02:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.471217,77.103800
2025-08-25 09:03:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.471327,77.103845
2025-08-25 09:04:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.469986,77.105302
2025-08-25 09:05:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.468781,77.106913
2025-08-25 09:06:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.467606,77.108550
2025-08-25 09:07:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.466698,77.110354
2025-08-25 09:08:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.466796,77.112466
2025-08-25 09:09:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.466567,77.114517
2025-08-25 09:10:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.465050,77.115709
2025-08-25 09:11:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.463443,77.116773
2025-08-25 09:12:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.464204,77.117958
2025-08-25 09:13:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.465864,77.118911
2025-08-25 09:14:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.467565,77.119766
2025-08-25 09:15:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.469204,77.118880
2025-08-25 09:16:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.470846,77.117904
2025-08-25 09:17:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.472659,77.117688
2025-08-25 09:18:00,HR960471,23,TRAVEL_OUT,Aravali Hills (Chakkarpur),28.474449,77.118263
2025-08-25 09:17:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474507,77.117786
2025-08-25 09:18:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474505,77.117766
2025-08-25 09:19:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474505,77.117748
2025-08-25 09:20:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474502,77.117745
2025-08-25 09:21:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474509,77.117727
2025-08-25 09:22:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474505,77.117711
2025-08-25 09:23:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474507,77.117700
2025-08-25 09:24:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474502,77.117686
2025-08-25 09:25:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474511,77.117675
2025-08-25 09:26:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474512,77.117661
2025-08-25 09:27:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474514,77.117643
2025-08-25 09:28:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474510,77.117633
2025-08-25 09:29:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474515,77.117620
2025-08-25 09:30:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474513,77.117606
2025-08-25 09:31:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474515,77.117590
2025-08-25 09:32:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474516,77.117583
2025-08-25 09:33:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474520,77.117564
2025-08-25 09:34:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474516,77.117552
2025-08-25 09:35:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474519,77.117538
2025-08-25 09:36:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474521,77.117528
2025-08-25 09:37:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474524,77.117510
2025-08-25 09:38:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474518,77.117497
2025-08-25 09:39:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474524,77.117487
2025-08-25 09:40:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474534,77.117501
2025-08-25 09:41:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474544,77.117503
2025-08-25 09:42:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474556,77.117506
2025-08-25 09:43:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474568,77.117505
2025-08-25 09:44:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474573,77.117512
2025-08-25 09:45:00,HR960471,23,WORKING,Aravali Hills (Chakkarpur),28.474589,77.117507
